Run,MatrixSize,Threads,TimeSeconds,FLOPs,GFLOPS
1,2000,12,0.186492088,16000000000,85.794524
2,2000,12,0.196574969,16000000000,81.393883
3,2000,12,0.184893501,16000000000,86.536303
4,2000,12,0.182599667,16000000000,87.623380
5,2000,12,0.191143147,16000000000,83.706898
6,2000,12,0.238192411,16000000000,67.172585
7,2000,12,0.194045981,16000000000,82.454684
8,2000,12,0.193269378,16000000000,82.786007
9,2000,12,0.191273987,16000000000,83.649639
10,2000,12,0.157032247,16000000000,101.889900
1,4000,12,1.596130211,128000000000,80.193959
2,4000,12,1.578313256,128000000000,81.099236
3,4000,12,1.605415980,128000000000,79.730115
4,4000,12,1.858742037,128000000000,68.863779
5,4000,12,1.945180109,128000000000,65.803675
6,4000,12,1.687564050,128000000000,75.848973
7,4000,12,1.682872620,128000000000,76.060421
8,4000,12,1.842848643,128000000000,69.457685
9,4000,12,2.186019445,128000000000,58.553916
10,4000,12,1.757410893,128000000000,72.834418
1,6000,12,6.613433587,432000000000,65.321590
2,6000,12,6.085571496,432000000000,70.987581
3,6000,12,5.555768379,432000000000,77.757021
4,6000,12,6.178865575,432000000000,69.915747
5,6000,12,5.840646188,432000000000,73.964419
6,6000,12,5.727932794,432000000000,75.419879
7,6000,12,6.234983233,432000000000,69.286473
8,6000,12,6.559737836,432000000000,65.856290
9,6000,12,6.698086904,432000000000,64.496028
10,6000,12,6.328699939,432000000000,68.260465
1,8000,12,15.720392333,1024000000000,65.138323
2,8000,12,15.970815830,1024000000000,64.116950
3,8000,12,17.471307076,1024000000000,58.610383
4,8000,12,16.894590446,1024000000000,60.611117
5,8000,12,15.038299253,1024000000000,68.092806
6,8000,12,16.941194850,1024000000000,60.444379
7,8000,12,16.003578979,1024000000000,63.985687
8,8000,12,17.454540888,1024000000000,58.666682
9,8000,12,20.496784881,1024000000000,49.959055
10,8000,12,18.767863928,1024000000000,54.561350
1,10000,12,33.481722276,2000000000000,59.734084
2,10000,12,29.829511084,2000000000000,67.047696
3,10000,12,29.040582561,2000000000000,68.869142
4,10000,12,30.665451078,2000000000000,65.219977
5,10000,12,31.016531262,2000000000000,64.481743
6,10000,12,33.194814293,2000000000000,60.250375
7,10000,12,32.177608900,2000000000000,62.155022
8,10000,12,31.005657673,2000000000000,64.504357
9,10000,12,36.647795916,2000000000000,54.573541
10,10000,12,33.411741827,2000000000000,59.859196
1,12000,12,55.431956066,3456000000000,62.346708
2,12000,12,59.020306973,3456000000000,58.556117
3,12000,12,62.116558325,3456000000000,55.637339
4,12000,12,48.277063867,3456000000000,71.586789
5,12000,12,26.120719447,3456000000000,132.308760
6,12000,12,22.637870062,3456000000000,152.664539
7,12000,12,27.057912222,3456000000000,127.726041
8,12000,12,26.470483723,3456000000000,130.560515
9,12000,12,25.338277121,3456000000000,136.394435
10,12000,12,26.058504720,3456000000000,132.624647
1,14000,12,35.115044684,5488000000000,156.286288
2,14000,12,35.003881385,5488000000000,156.782613
3,14000,12,34.456785856,5488000000000,159.271965
4,14000,12,37.191586124,5488000000000,147.560257
5,14000,12,37.133153860,5488000000000,147.792456
6,14000,12,36.684329819,5488000000000,149.600661
7,14000,12,37.137339161,5488000000000,147.775800
8,14000,12,35.578501820,5488000000000,154.250452
9,14000,12,35.580582981,5488000000000,154.241430
10,14000,12,40.326444993,5488000000000,136.089358
1,16000,12,53.739066041,8192000000000,152.440312
2,16000,12,52.655566936,8192000000000,155.577092
3,16000,12,70.957452606,8192000000000,115.449466
4,16000,12,70.603428635,8192000000000,116.028360
5,16000,12,72.719146476,8192000000000,112.652587
6,16000,12,66.571843003,8192000000000,123.055028
7,16000,12,50.641385819,8192000000000,161.764925
8,16000,12,49.714991788,8192000000000,164.779269
9,16000,12,49.976286651,8192000000000,163.917741
10,16000,12,54.255186382,8192000000000,150.990173
1,18000,12,69.784766609,11664000000000,167.142495
2,18000,12,72.771496882,11664000000000,160.282535
3,18000,12,77.923205485,11664000000000,149.685834
4,18000,12,91.900890064,11664000000000,126.919337
5,18000,12,104.620803378,11664000000000,111.488343
6,18000,12,108.152400228,11664000000000,107.847815
7,18000,12,105.587694752,11664000000000,110.467418
8,18000,12,74.936458576,11664000000000,155.651871
9,18000,12,76.142306076,11664000000000,153.186850
10,18000,12,73.334305871,11664000000000,159.052436
1,20000,12,108.301020513,16000000000000,147.736373
2,20000,12,101.959922693,16000000000000,156.924403
3,20000,12,98.004933442,16000000000000,163.257088
4,20000,12,115.069668068,16000000000000,139.046199
5,20000,12,126.611909498,16000000000000,126.370419
6,20000,12,119.004481777,16000000000000,134.448718
7,20000,12,97.515369065,16000000000000,164.076700
8,20000,12,104.787787090,16000000000000,152.689549
9,20000,12,107.097343015,16000000000000,149.396797
10,20000,12,109.661087186,16000000000000,145.904080
